joueur,equipe,competition,journee,type,x,y,resultat,angle,distance
LeGarrec,Racing,TOP 14,6,pénalité,47.77683752417792,15.991295938104452,réussi,11.88014341996071,44.37431693416254
Serin,Toulon,TOP 14,6,pénalité,26.721910796977824,21.31854740433829,raté,20.46075590881927,23.41561847858169
Serin,Toulon,TOP 14,6,pénalité,39.3955642213015,15.46916890080429,réussi,13.39658128887318,37.227461668142496
Serin,Toulon,TOP 14,6,pénalité,32.936875456982705,56.17109432122837,réussi,13.373946238628104,33.11802736211605
LeGarrec,Racing,TOP 14,6,transformation,30.86934923000495,2.667660208643815,réussi,8.754451058283626,39.70220143223385
Ramos,Toulouse,TOP 14,6,pénalité,44.94755244755245,51.64206164206165,réussi,12.854423919647228,40.9496133430284
Ramos,Toulouse,TOP 14,6,pénalité,18.65902615902617,39.46904946904947,réussi,43.402527925685554,11.98528832266276
Ramos,Toulouse,TOP 14,6,pénalité,30.57303807303808,28.202538202538207,raté,23.14421643995256,23.908406052615227
Ramos,Toulouse,TOP 14,6,transformation,17.058577905034596,33.903602958721066,réussi,56.03477130223988,9.500573026644528
Ramos,Toulouse,TOP 14,6,transformation,30.778453829634927,54.66237174898592,réussi,14.444097320149885,30.496115364127984
Ramos,Toulouse,TOP 14,6,transformation,30.18193748508709,18.51348126938678,réussi,17.058108195757125,27.86178012377598
Ramos,Toulouse,TOP 14,6,transformation,31.6135767120019,57.40634693390599,réussi,12.81535928221143,32.95051190044779
Ramos,Toulouse,TOP 14,6,transformation,17.77439751849201,29.250775471247916,réussi,43.5414060984467,11.604396507510993
Ramos,Toulouse,TOP 14,6,transformation,18.37091386303985,32.59126700071582,réussi,48.91474133698742,10.998873439586047
Urdapilleta,Clermont,TOP 14,6,transformation,18.584572264196915,28.752132585912747,réussi,40.28345782304203,12.554658356709991
Urdapilleta,Clermont,TOP 14,6,transformation,32.1112600536193,67.62612722398245,réussi,8.453544337256277,40.93399985744549
Simmonds,Pau,TOP 14,6,pénalité,39.16074149314373,27.20162519045201,réussi,17.306983095975678,32.467632192637545
Simmonds,Pau,TOP 14,6,pénalité,45.25520568816658,53.230066023362106,raté,12.379770418229583,41.90264301412706
Simmonds,Pau,TOP 14,6,transformation,18.61837371072201,41.57112017270328,réussi,38.20920351995768,12.908679050376325
Simmonds,Pau,TOP 14,6,transformation,30.491724634204857,0.4341568721515951,réussi,7.959815159508786,41.322325478372
Simmonds,Pau,TOP 14,6,transformation,30.131926121372047,1.5135524106500355,raté,8.268696792713442,40.22544484454904
Simmonds,Pau,TOP 14,6,transformation,29.65219477092829,53.92420244662989,raté,15.040238697111766,29.160931353026413
Daubagna,Pau,TOP 14,6,pénalité,38.301502419149486,17.119938884644768,réussi,14.257990735447445,35.4442108961651
Daubagna,Pau,TOP 14,6,pénalité,34.09982174688058,39.9108734402852,réussi,20.892376089594148,26.97672116160581
