joueur,equipe,competition,journee,type,x,y,resultat,angle,distance,proba,xPoints
LeBrun,Castres,TOP 14,5,,46.85606060606061,24.659090909090917,raté,13.836805100920724,40.5504874867236,0.5888313683807354,1.766494105142206
Simmonds,Pau,TOP 14,5,,37.29166666666667,15.37878787878788,raté,13.77641156091678,35.49715624886307,0.7017646601157923,2.105293980347377
Simmonds,Pau,TOP 14,5,,23.65530303030303,42.36742424242425,réussi,29.291791471835534,17.728957160649134,0.9717862411799121,2.915358723539736
Simmonds,Pau,TOP 14,5,,29.715909090909093,5.530303030303031,réussi,9.733941736472461,36.71416292441009,0.6211125949181343,1.8633377847544028
Aucagne,Perpignan,TOP 14,5,,21.382575757575765,47.67045454545456,réussi,22.825480603429817,18.827915285468713,0.9545695085917176,2.863708525775153
Aucagne,Perpignan,TOP 14,5,,32.36742424242425,67.93560606060608,raté,8.375589325549,41.33525439098004,0.48897737779450196,1.466932133383506
Aucagne,Perpignan,TOP 14,5,,40.227272727272734,17.840909090909093,réussi,14.047717321135526,36.78590298863362,0.6779415977819926,2.033824793345978
Allan,Perpignan,TOP 14,5,,46.00378787878789,49.94318181818183,raté,13.015939451733415,41.263382797933986,0.5596249275319539,1.6788747825958619
Jalibert,Bordeaux,TOP 14,5,,31.515151515151523,4.962121212121213,raté,9.668599249823103,38.26700913176083,0.583383163495275,1.7501494904858248
Jalibert,Bordeaux,TOP 14,5,,40.89015151515152,17.556818181818187,réussi,13.788754989384062,37.50508124818511,0.6587449967681226,1.9762349903043677
Jalibert,Bordeaux,TOP 14,5,,21.66666666666667,30.246212121212125,réussi,36.49614743304665,14.793503504077751,0.9860654109996154,2.958196232998846
Jalibert,Bordeaux,TOP 14,5,,31.60984848484849,68.69318181818183,raté,8.0522074599394,41.501534432478884,0.4800521673088965,1.4401565019266895
Jalibert,Bordeaux,TOP 14,5,,30.37878787878788,4.772727272727273,réussi,9.49345230254801,37.7182321717992,0.5940067739775983,1.7820203219327948
Segonds,Bayonne,TOP 14,5,,26.496212121212125,21.060606060606062,réussi,20.29756977222866,23.382770121032664,0.9200878766260698,2.7602636298782093
Segonds,Bayonne,TOP 14,5,,38.52272727272728,26.64772727272728,réussi,17.47836752271909,31.985224511699464,0.8059662821062844,2.4178988463188533
Segonds,Bayonne,TOP 14,5,,18.352272727272737,40.9469696969697,réussi,40.42781313633027,12.362398336058247,0.9912884568956254,2.9738653706868763
Segonds,Bayonne,TOP 14,5,,32.08333333333334,2.5,réussi,8.814076130348763,40.55911120407314,0.5147118624988919,1.5441355874966756
Garcia,Bordeaux,TOP 14,5,,48.19294082752485,54.43719412724306,réussi,11.536051728258757,45.072577106770936,0.4438344497727488,1.3315033493182464
Vincent,Montpellier,TOP 14,5,,50.45454545454547,45.9659090909091,réussi,12.62158748594613,44.2714663299423,0.4796091477139882,1.4388274431419648
Vincent,Montpellier,TOP 14,5,,18.73106060606061,25.132575757575765,réussi,30.57922687248904,14.765592925674879,0.9803414303307052,2.9410242909921154
Vincent,Montpellier,TOP 14,5,,31.988636363636378,10.265151515151516,réussi,12.00545003777165,34.61902853086766,0.6978457719773004,2.093537315931901
Vincent,Montpellier,TOP 14,5,,51.02272727272728,17.178030303030305,raté,11.495831286952205,46.873039062136456,0.39981839732353114,1.1994551919705934
Henry,StadeFrançais,TOP 14,5,,41.55303030303031,48.90151515151516,réussi,14.503664516275338,36.74614603533837,0.6846972816911902,2.0540918450735703
Henry,StadeFrançais,TOP 14,5,,27.632575757575765,30.53030303030304,réussi,27.296782084816364,20.486633956223514,0.95880785925659,2.8764235777697698
Henry,StadeFrançais,TOP 14,5,,40.89015151515152,21.060606060606062,raté,14.90376142806875,36.025009984870366,0.7048856262743763,2.114656878823129
Vincent,Montpellier,TOP 14,5,,44.77272727272728,27.215909090909093,réussi,14.94213714471724,37.94224088713857,0.6644508858329797,1.993352657498939
Vincent,Montpellier,TOP 14,5,,45.05681818181819,26.553030303030305,raté,14.737334836611696,38.358293111460284,0.6524447776456682,1.9573343329370045
Vincent,Montpellier,TOP 14,5,,45.05681818181819,26.931818181818187,raté,14.796044609236908,38.27825583060135,0.6550302939282523,1.9650908817847568
Vincent,Montpellier,TOP 14,5,,44.77272727272728,27.40530303030304,raté,14.970299497100363,37.90464316449182,0.6656538340873112,1.9969615022619336
Carbonel,StadeFrançais,TOP 14,5,,30.284090909090917,6.571969696969697,réussi,10.233729429365374,36.24092744910707,0.6389726337885817,1.9169179013657451
Carbonel,StadeFrançais,TOP 14,5,,19.29924242424243,29.015151515151523,réussi,39.383430305225566,13.064921914439244,0.9900734125232005,2.9702202375696016
Carbonel,StadeFrançais,TOP 14,5,,30.000000000000007,56.00378787878789,réussi,13.68317057593313,30.81429790359586,0.7881260359874933,2.36437810796248
Carbonel,StadeFrançais,TOP 14,5,,40.89015151515152,39.43181818181819,réussi,16.976270688149164,33.60134858913737,0.7745379079933397,2.323613723980019
Carbonel,StadeFrançais,TOP 14,5,,44.67803030303031,55.15151515151515,réussi,11.97924524562987,42.27373914355916,0.5194488635998131,1.5583465907994394
Vincent,Montpellier,TOP 14,5,,30.284090909090917,2.21590909090909,réussi,8.528921259062951,39.73217855446206,0.5308894696077715,1.5926684088233145
Urdapilleta,Clermont,TOP 14,5,,28.20075757575757,52.31060606060607,réussi,16.39254411092648,27.008814227416096,0.8643437539445635,2.5930312618336906
Urdapilleta,Clermont,TOP 14,5,,31.42045454545455,51.74242424242425,réussi,16.160081582554213,29.205150354345495,0.83487720991867,2.50463162975601
Urdapilleta,Clermont,TOP 14,5,,42.40530303030303,53.1628787878788,réussi,12.98891843162458,39.33043440853994,0.6057190477408994,1.817157143222698
Urdapilleta,Clermont,TOP 14,5,,33.31439393939395,9.602272727272728,réussi,11.67549325997852,36.026503502322385,0.6633098114768583,1.989929434430575
Urdapilleta,Clermont,TOP 14,5,,33.7878787878788,11.212121212121213,réussi,12.387381620329982,35.26778838642822,0.6890355413596146,2.067106624078844
Serin,Toulon,TOP 14,5,,32.55681818181819,58.56060606060608,réussi,12.19323867580737,34.428893285943104,0.7041366455786655,2.1124099367359968
Serin,Toulon,TOP 14,5,,38.80681818181819,49.564393939393945,réussi,15.122418495169335,34.502786003777985,0.7377636112750205,2.2132908338250616
Serin,Toulon,TOP 14,5,,38.90151515151515,42.55681818181819,réussi,17.338492239508923,32.234895777659986,0.800745320636951,2.4022359619108533
Serin,Toulon,TOP 14,5,,44.96212121212122,52.594696969696976,réussi,12.605229403760948,41.36279735038191,0.5511495418287897,1.6534486254863692
Serin,Toulon,TOP 14,5,,46.09848484848486,14.905303030303031,réussi,11.93969706730706,43.34934153149754,0.4922541118184206,1.4767623354552617
Serin,Toulon,TOP 14,5,,31.60984848484849,17.651515151515156,réussi,16.14236273932467,29.524276719435232,0.8303277499932438,2.490983249979731
LeGarrec,Racing,TOP 14,6,pénalité,42.94124758220501,17.562862669245654,raté,13.300822283056505,39.33414206795326,0.6100634591508273,1.8301903774524817
LeGarrec,Racing,TOP 14,6,pénalité,42.69946808510636,18.77176015473888,réussi,13.707453451139472,38.59840495127444,0.6328917545776102,1.8986752637328306
LeGarrec,Racing,TOP 14,6,pénalité,24.32422630560926,21.068665377176018,réussi,21.053174685805466,21.660630813469837,0.9345661497454086,2.803698449236226
